"nameText","ProjectID","officialLink","twitterLink","discordLink","telegramLink","cmcLink","introduceText","detailIntroText","categories","ecosystem","tokenContractAddress","nftContractAddress","communityNftContractAddress","contractAddressWebsite","protocolContractAddresses","twitterLogoLink","discordServerId"
"EigenLayer","","https://www.eigenlayer.xyz/","https://twitter.com/eigenlayer","https://discord.com/invite/eigenlayer","","","The Ethereum Restaking Collective","EigenLayer is a protocol built on Ethereum that introduces restaking, a new primitive in cryptoeconomic security. This primitive enables the rehypothecation of ETH on the consensus layer. Users who stake ETH can opt-in to EigenLayer smart contracts to restake their ETH and extend cryptoeconomic security to additional applications on the network. Part of EigenLayer's potential lies in its ability to aggregate and extend cryptoeconomic security through restaking, and to validate new applications being built on top of Ethereum.","9: ""Infrastructure"",","1: ""Ethereum"",","","","","","","https://pbs.twimg.com/profile_images/1635879999264940033/_pozth32_400x400.jpg","1089434273720832071"
"Avail","","https://www.availproject.org/","https://twitter.com/AvailProject","https://discord.gg/y6fHnxZQX8","","","Modular blockchain focused on data availability","Avail is a blockchain that is laser-focused on data availability: ordering and recording blockchain transactions, and making it possible to prove that block data is available without downloading the entire block. This allows it to scale in ways that monolithic blockchains cannot. Off-chain scaling solutions can unlock their full potential by offloading data availability to Avail. Standalone chains can bootstrap validator security by leveraging Avail for data availability.","9: ""Infrastructure"",","1: ""Ethereum"",","","","","","","https://pbs.twimg.com/profile_images/1671126588694609920/THQgYJtf_400x400.png","1065831819154563132"
"The Root Network","","https://www.therootnetwork.com/","https://twitter.com/TheRootNetwork","http://discord.gg/therootnetwork","","https://coinmarketcap.com/currencies/the-root-network/","Decentralized blockchain network","The Root Network is a public decentralized blockchain network optimized for metaverse apps, games and experiences. The Root Network has a unique multi-token economy that enables the optimization of both gas and initial user onboarding. Users can onboard and use the native token of the application, or developers can delegate and pay fees on behalf of users. Developers set up a liquidity pool between their native token and the network GAS token.","9: ""Infrastructure"",","","$ROOT:0xa3d4BEe77B05d4a0C943877558Ce21A763C4fa29:ethereum","","","","","https://pbs.twimg.com/profile_images/1658639949246386176/6T1Tapl__400x400.jpg","864685888830963742"
"Celestia","","https://celestia.org/","https://twitter.com/CelestiaOrg","https://discord.com/invite/YsnTPcSfWQ","https://t.me/CelestiaCommunity","https://coinmarketcap.com/currencies/celestia/","Modular consensus and data availability network","Celestia is a modular blockchain network whose goal is to build a scalable data availability layer, enabling the next generation of scalable blockchain architectures - modular blockchains. Celestia scales by decoupling execution from consensus and introducing a new primitive, data availability sampling. It's built to enable anyone to easily deploy their own blockchain with minimal overhead.","9: ""Infrastructure"",","9: ""Cosmos"",","$TIA:ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877:osmosis","","","","","https://pbs.twimg.com/profile_images/1404854187721203715/zZp1s7c3_400x400.jpg","638338779505229824"
"AltLayer","","https://altlayer.io/","https://alt.ws/twitter","https://discord.com/invite/altlayer","https://alt.ws/telegram","","Execution and elastic scaling layer as blockchain","AltLayer is a system of highly scalable, application-dedicated execution layers that derive security from an underlying L1/L2. It is designed as a modular and pluggable framework for a multi-chain and multi-VM world. At its core, AltLayer consists of several optimistic rollup-like execution layers called flash layers, featuring a novel innovation that makes them disposable and thus highly resource-optimized.","9: ""Infrastructure"",","1: ""Ethereum"",","$ALT:0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb:ethereum","","","","","https://pbs.twimg.com/profile_images/1683698521600565248/_R1r5HsQ_400x400.jpg","954273304099815424"
"Berachain","","https://berachain.com/","https://twitter.com/berachain","https://discord.gg/berachain","","","A DeFi focused EVM-compatible L1","Berachain is a DeFi-focused, EVM-compatible Layer 1 built on the Cosmos SDK and powered by Proof of Liquidity Consensus.","9: ""Infrastructure"",","9: ""Cosmos"",","","","","","","https://pbs.twimg.com/profile_images/1503825007134142464/n2QLtggX_400x400.jpg","924442927399313448"
"Monad","","https://www.monad.xyz/","https://twitter.com/monad_xyz","https://discord.gg/monad","","","High-performance layer 1 blockchain","Monad is building a high-performance, Layer 1 blockchain for the next generation of decentralized applications. Monad's mission is to accelerate the disruptive force of decentralization by building a blockchain that is 100x to 1000x faster than its nearest competitors. This will alleviate severe bottlenecks in existing blockchains and enable more complex applications and wider adoption.","9: ""Infrastructure"",","78: ""Monad"",","","","","","","https://pbs.twimg.com/profile_images/1744741990498279424/Mon40JUX_400x400.jpg","1036357772826120242"
"Burnt","","https://www.burnt.com/","https://twitter.com/burnt_xion","https://discord.com/invite/burnt","https://t.me/burnt_announcements","","Creators of Xion","Burnt is evolving the future of Web3 with the introduction of XION, the first chain purpose-built for consumer adoption. XION is intended to remove technical crypto barriers for consumers, providing a toolkit that includes seamless fiat on/off ramps, direct credit card purchases, familiar Web2 logins, safe account abstraction for mobile support, and zero gas fees.","9: ""Infrastructure"",","9: ""Cosmos"",","","","","","","https://pbs.twimg.com/profile_images/1732416948950949888/t_jB0N2t_400x400.jpg","823953904512401469"
"Namada","","https://namada.net/","https://twitter.com/namada","https://discord.com/invite/namada","","","Proof-of-Stake L1 for interchain asset-agnostic privacy","Namada is a proof-of-stake Layer 1 for interchain asset-agnostic privacy. It natively interoperates with fast-finality chains via IBC and with Ethereum via a trustless two-way bridge. For privacy, Namada deploys an upgraded version of the Multi-Asset Shielded Pool (MASP) circuit, which allows all assets to share a common shielded set. Namada is Anoma's first fractal instance and deploys Version 1 of the Anoma protocol.","9: ""Infrastructure"",","9: ""Cosmos"",","","","","","","https://pbs.twimg.com/profile_images/1679825110373486593/oVAMywcF_400x400.jpg","833618405537218590"
"Polygon","","https://polygon.technology/","https://twitter.com/0xPolygon","https://discord.gg/tCmCbEff66","https://t.me/polygonofficial","https://coinmarketcap.com/currencies/polygon/","Decentralised Ethereum scaling platform","Polygon is a decentralized Ethereum scaling platform that enables developers to build user-friendly, scalable dApps with low transaction fees without compromising security.","9: ""Infrastructure"",","4: ""Polygon"",","","","","","","https://pbs.twimg.com/profile_images/1639270979288399876/3OT3Lsux_400x400.jpg","635865020172861441"
